"통계분류","항목","단위","2001 년","2002 년","2003 년","2004 년","2005 년","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년",
"친구, 친지 방문","사례수","","298","344","296","629","750","752","1083","1125","1103","1111","1038","1052","992","694","1011","813",
"친구, 친지 방문","남대문시장","","47.1","53.6","52.9","43.9","53.9","48.8","53.9","49.5","53.9","55.2","41.9","36.7","32.3","31.2","28.5","29.6",
"친구, 친지 방문","동대문시장","","50","47.7","42.6","43.7","51","48.7","57.7","57.1","51","51","55.9","52.5","51.4","50.5","51.7","48.4",
"친구, 친지 방문","명동","","42.2","39.1","43.6","37.9","48.7","42.8","54.7","48.2","54","64.4","66.4","65.4","67.9","67.2","62.3","64.3",
"친구, 친지 방문","고궁","","45.9","50.3","37.9","45.6","43","48.1","55.4","51.2","46.2","48.7","41.8","37.9","38.4","43.5","43.2","44.3",
"친구, 친지 방문","신촌/홍대주변","","","","","","","","","","","","","28.2","27.2","32.5","28.6","32.5",
"친구, 친지 방문","박물관(기념관)","","35.3","38.1","32","34.2","34.9","41.6","40","36.2","33.5","31.5","31.9","27.8","24.5","26.8","29.3","28.3",
"친구, 친지 방문","이태원","","34.6","38.4","36.5","42.3","43.9","39.3","35.8","34.1","30.9","29.7","28.2","28.9","29.5","","","",
"친구, 친지 방문","롯데월드","","28","27.5","30.2","24.2","22.9","27","26.7","28.5","22.1","25.1","24.8","22","22.3","14.7","16.2","17.4",
"친구, 친지 방문","인사동","","25.1","30.8","30","33","45.3","38.8","47.9","45.2","41.4","41.5","38","38.2","36","37.5","30.2","31.1",
"친구, 친지 방문","강남역","","","","","","","","","","","","","","","32.5","31.6","35.6",
"친구, 친지 방문","남산/N서울타워","","20.4","20.8","19.9","20.2","","31.4","43.2","36.7","35.4","42","39.2","35.6","30","33.6","33.6","40.2",
"친구, 친지 방문","코엑스","","","","","","21.5","","","25","","","","","","","","",
"친구, 친지 방문","청계천","","","","","","","15.8","21.4","","18.1","18.7","","","","","","",
"친구, 친지 방문","청와대","","","","","","11.5","","","","","","","","","","","",
"친구, 친지 방문","압구정동","","10.4","7.8","7","10.5","","","","","","","","","","","","",
"친구, 친지 방문","청계천,광화문광장","","","","","","","","","","","","26","","","","","",
"친구, 친지 방문","기타","","13.1","21.2","18.6","13","","","","","","","","","","","","",
"사업, 전문활동","사례수","","1380","1617","1874","3312","3255","3124","2946","3265","2823","2519","2390","2050","1966","1734","1762","1325",
"사업, 전문활동","남대문시장","","41.6","33.3","32.7","32.7","33.1","38","37.8","36","38.4","36.7","29.3","26.5","22.6","17.8","21.8","16.7",
"사업, 전문활동","동대문시장","","35.7","29.7","31.4","30.1","29.6","35.8","35.2","38","38.5","37","32.5","32.6","28.7","30.1","33.9","32.8",
"사업, 전문활동","명동","","23.6","21.9","22.7","28","31.1","32.5","34.9","32","36.9","41.8","43.8","43","38","37.1","41.4","44.9",
"사업, 전문활동","고궁","","28.7","26.8","26.5","28.6","29.4","40.4","40.5","37","33.1","40.9","33.7","33.5","29.3","29.5","29.8","26.6",
"사업, 전문활동","신촌/홍대주변","","","","","","","","","","","","","9","8.4","9.9","10.9","8.7",
"사업, 전문활동","박물관(기념관)","","23.2","19.7","21","19.8","19","28.4","26.1","23.3","20.9","28.4","24.7","23","17.8","15.2","17.1","16.8",
"사업, 전문활동","이태원","","31.7","28.8","27.2","27.9","22.1","27.5","26.8","26.1","21.1","27.2","25.6","25","21.1","","","",
"사업, 전문활동","롯데월드","","22.8","17.7","18.4","18.9","15.4","18.2","16.6","16.3","15.5","17.5","15.5","16.4","16.1","7.5","10.3","8",
"사업, 전문활동","인사동","","11.5","12.3","13.5","16.6","19.9","19.5","24.3","23.8","19.4","25","24.6","23.9","20.1","16.6","16.7","13.9",
"사업, 전문활동","강남역","","","","","","","","","","","","","","","45.1","29.5","30.7",
"사업, 전문활동","남산/N서울타워","","13.3","10.3","12.5","14.3","","23.2","24.2","23.5","26.2","31.3","26.7","22.4","19.2","22.9","20.1","18.6",
"사업, 전문활동","코엑스","","","","","","20.7","","","25.3","","","","","","","","",
"사업, 전문활동","청계천","","","","","","","8","10.5","","7.4","9.4","","","","","","",
"사업, 전문활동","청와대","","","","","","11.3","","","","","","","","","","","",
"사업, 전문활동","압구정동","","4.7","4.2","4.8","6.7","","","","","","","","","","","","",
"사업, 전문활동","청계천,광화문광장","","","","","","","","","","","","11.9","","","","","",
"사업, 전문활동","기타","","22.4","35","34","21.7","","","","","","","","","","","","",
"건강, 치료","사례수","","19","8","12","10","19","2","13","17","13","12","31","","","","","",
"건강, 치료","남대문시장","","82.4","77.2","36.4","44.4","20.5","0","53.2","46.8","48.1","53.1","33.5","","","","","",
"건강, 치료","동대문시장","","33.8","50.8","55.3","44.4","34.6","66","68.2","30.7","54.6","46.2","75.2","","","","","",
"건강, 치료","명동","","63.6","34","42.2","60","47.2","0","16.1","45.8","41.9","55.5","53.1","","","","","",
"건강, 치료","고궁","","49.5","7.6","30.5","12.6","24.4","22.7","28","33.5","30.5","64.1","33.4","","","","","",
"건강, 치료","신촌/홍대주변","","","","","","","","","","","","","","","","","",
"건강, 치료","박물관(기념관)","","33.6","3.3","19.9","0","12.6","11.4","36.4","13.5","54.8","25.8","20","","","","","",
"건강, 치료","이태원","","33.8","14.7","21.8","28.5","23.5","0","41.1","19.9","23.5","30.3","16.2","","","","","",
"건강, 치료","롯데월드","","32.7","3.2","10.6","0","12.3","22.7","43.1","10.7","44.3","55","33.1","","","","","",
"건강, 치료","인사동","","31.8","12.6","5.1","12.6","17.9","66","5.3","26.2","34.9","41.7","27.3","","","","","",
"건강, 치료","강남역","","","","","","","","","","","","","","","","","",
"건강, 치료","남산/N서울타워","","0","9.2","16.1","0","","88.6","4","37.5","33","65.8","26","","","","","",
"건강, 치료","코엑스","","","","","","19.2","","","1.5","","","","","","","","",
"건강, 치료","청계천","","","","","","","0","19.4","","19.6","6.3","","","","","","",
"건강, 치료","청와대","","","","","","4.6","","","","","","","","","","","",
"건강, 치료","압구정동","","15.9","0","13.8","2.6","","","","","","","","","","","","",
"건강, 치료","청계천,광화문광장","","","","","","","","","","","","9.9","","","","","",
"건강, 치료","기타","",".8","3.2","21.3","0","","","","","","","","","","","","",
"뷰티, 건강 및 치료","사례수","","","","","","","","","","","","","109","110","106","128","68",
"뷰티, 건강 및 치료","남대문시장","","","","","","","","","","","","","47.2","32.5","32.4","20.8","23",
"뷰티, 건강 및 치료","동대문시장","","","","","","","","","","","","","56.2","65.9","55.9","40.6","67.6",
"뷰티, 건강 및 치료","명동","","","","","","","","","","","","","79.9","83.4","72.6","73.1","75.9",
"뷰티, 건강 및 치료","고궁","","","","","","","","","","","","","18.7","25.6","32.4","18.2","31.2",
"뷰티, 건강 및 치료","신촌/홍대주변","","","","","","","","","","","","","13.1","15.1","14.5","17.5","20.2",
"뷰티, 건강 및 치료","박물관(기념관)","","","","","","","","","","","","","11.8","17.7","21.8","11.4","15.3",
"뷰티, 건강 및 치료","이태원","","","","","","","","","","","","","11.2","9","","","",
"뷰티, 건강 및 치료","롯데월드","","","","","","","","","","","","","27.2","31.2","19.9","17.6","25.2",
"뷰티, 건강 및 치료","인사동","","","","","","","","","","","","","23","20","25.3","10.8","12.7",
"뷰티, 건강 및 치료","강남역","","","","","","","","","","","","","","","16.9","37.5","40.3",
"뷰티, 건강 및 치료","남산/N서울타워","","","","","","","","","","","","","21.2","25.3","23.4","16.8","25.3",
"뷰티, 건강 및 치료","코엑스","","","","","","","","","","","","","","","","","",
"뷰티, 건강 및 치료","청계천","","","","","","","","","","","","","","","","","",
"뷰티, 건강 및 치료","청와대","","","","","","","","","","","","","","","","","",
"뷰티, 건강 및 치료","압구정동","","","","","","","","","","","","","","","","","",
"뷰티, 건강 및 치료","청계천,광화문광장","","","","","","","","","","","","","","","","","",
"뷰티, 건강 및 치료","기타","","","","","","","","","","","","","","","","","",
"종교, 순례","사례수","","28","34","37","59","52","75","55","57","50","44","76","78","85","81","58","41",
"종교, 순례","남대문시장","","45.1","48.6","43.6","38.1","36.6","40.8","52.8","37.3","47.3","31.5","18.2","30.3","28.9","18.6","23.6","25.6",
"종교, 순례","동대문시장","","17.7","33","27.3","34.8","21.4","32.7","43.2","47.6","46.6","32.1","52.6","42.5","45.9","59.4","62.5","45.7",
"종교, 순례","명동","","6.3","23","45.1","28.8","31.9","26.8","26.5","31.6","48.6","39.9","57.4","47.7","69.1","73.1","58.8","65.5",
"종교, 순례","고궁","","41","37.7","58.4","33.3","28.2","35","40","28.5","33.5","49.9","34.1","39.1","48.7","31.9","54.7","35.3",
"종교, 순례","신촌/홍대주변","","","","","","","","","","","","","12.7","22.1","18.9","25.4","19.3",
"종교, 순례","박물관(기념관)","","48.5","39.1","43.4","34.5","31.6","42.2","21.5","30.8","37.7","53.5","30.9","35.8","32","16","35.9","23.1",
"종교, 순례","이태원","","22.9","12.1","3.1","14.5","11","8.9","12.5","30.3","5.8","15.9","4.3","13.6","11.7","","","",
"종교, 순례","롯데월드","","22.2","19.4","13.3","19","9.4","16.6","15.8","12.7","11","27.4","25.9","12.9","37.9","15.8","20.5","25.6",
"종교, 순례","인사동","","1.9","13.5","39.3","20.4","23.4","11.9","20.7","19.5","23.6","20.9","28.6","27.5","28.3","25.7","35.4","15.8",
"종교, 순례","강남역","","","","","","","","","","","","","","","15.2","11.1","13.2",
"종교, 순례","남산/N서울타워","","2.3","28.9","24.5","14.7","","17.3","12.8","15.7","13","35.7","30.6","20.7","27.5","39.4","29.6","25",
"종교, 순례","코엑스","","","","","","8.1","","","0","","","","","","","","",
"종교, 순례","청계천","","","","","","","1.3","13.6","","24.3","13.4","","","","","","",
"종교, 순례","청와대","","","","","","9.8","","","","","","","","","","","",
"종교, 순례","압구정동","",".7",".6","6.5","2.9","","","","","","","","","","","","",
"종교, 순례","청계천,광화문광장","","","","","","","","","","","","27.4","","","","","",
"종교, 순례","기타","","28","40.7","17.9","10.4","","","","","","","","","","","","",
"쇼핑","사례수","","","","","","","","","","","","1082","1336","1187","1129","1220","1353",
"쇼핑","남대문시장","","","","","","","","","","","","47","50.6","47.1","31.2","31.3","28.9",
"쇼핑","동대문시장","","","","","","","","","","","","71.9","69.1","70.5","76.1","76.4","76.9",
"쇼핑","명동","","","","","","","","","","","","90.8","95.1","92.3","95.8","94","94",
"쇼핑","고궁","","","","","","","","","","","","27","24.1","25.5","31.4","36.9","24.8",
"쇼핑","신촌/홍대주변","","","","","","","","","","","","","18.5","23.5","31.4","32.3","38",
"쇼핑","박물관(기념관)","","","","","","","","","","","","17.4","15.4","12.6","11.3","20.4","14.9",
"쇼핑","이태원","","","","","","","","","","","","12.3","15","13.8","","","",
"쇼핑","롯데월드","","","","","","","","","","","","24.6","21.7","24.9","19.9","23.4","28.5",
"쇼핑","인사동","","","","","","","","","","","","27.4","30.3","27.1","27.5","19.3","22.4",
"쇼핑","강남역","","","","","","","","","","","","","","","32.7","17.6","23.8",
"쇼핑","남산/N서울타워","","","","","","","","","","","","31.3","27.2","23.2","33.2","37.7","38.9",
"쇼핑","코엑스","","","","","","","","","","","","","","","","","",
"쇼핑","청계천","","","","","","","","","","","","","","","","","",
"쇼핑","청와대","","","","","","","","","","","","","","","","","",
"쇼핑","압구정동","","","","","","","","","","","","","","","","","",
"쇼핑","청계천,광화문광장","","","","","","","","","","","","17.6","","","","","",
"쇼핑","기타","","","","","","","","","","","","","","","","","",
"교육","사례수","","","","","","","","","","","","496","707","653","388","429","451",
"교육","남대문시장","","","","","","","","","","","","52.9","40.6","45","42.4","41.4","45.2",
"교육","동대문시장","","","","","","","","","","","","68.6","77.9","72.3","66","66.7","74",
"교육","명동","","","","","","","","","","","","75.8","85.8","86","82.9","83.2","88.5",
"교육","고궁","","","","","","","","","","","","51.5","41.3","41","60.8","54.9","49.1",
"교육","신촌/홍대주변","","","","","","","","","","","","","50.2","54.4","56.2","60.1","68.9",
"교육","박물관(기념관)","","","","","","","","","","","","45.8","38.2","40.9","43.1","41.1","43.7",
"교육","이태원","","","","","","","","","","","","40.5","36.2","49.3","","","",
"교육","롯데월드","","","","","","","","","","","","42.9","56.8","45.6","36.8","32.2","41.9",
"교육","인사동","","","","","","","","","","","","49.6","40.2","48.9","58.2","50.4","49.3",
"교육","강남역","","","","","","","","","","","","","","","45.1","49.9","53.7",
"교육","남산/N서울타워","","","","","","","","","","","","52.2","52.8","54.4","58.8","56.3","61.5",
"교육","코엑스","","","","","","","","","","","","","","","","","",
"교육","청계천","","","","","","","","","","","","","","","","","",
"교육","청와대","","","","","","","","","","","","","","","","","",
"교육","압구정동","","","","","","","","","","","","","","","","","",
"교육","청계천,광화문광장","","","","","","","","","","","","23.5","","","","","",
"교육","기타","","","","","","","","","","","","","","","","","",
"기 타","사례수","","181","128","342","325","298","316","447","500","355","453","52","16","4","6","5","10",
"기 타","남대문시장","","58.4","48.2","41","48.5","53.3","55.1","48.5","43.9","53.3","65.1","45.5","41.4","63.3","38.6","0","9.1",
"기 타","동대문시장","","49.2","52.9","38.6","44.9","48.9","54.3","50","48","62.9","45.4","53.6","54.1","53.4","55.4","40.1","6.4",
"기 타","명동","","25","30.4","33.4","44.2","47.3","46.9","52.7","45.6","67.4","70.9","60.9","60.8","66.9","16.7","75.9","16.7",
"기 타","고궁","","46.8","50.3","33.8","44.3","39.8","44.9","56.7","50.2","49.2","46.7","59.5","52.8","66.9","34.6","13.6","36.7",
"기 타","신촌/홍대주변","","","","","","","","","","","","","5.1","47.4","0","0","14.9",
"기 타","박물관(기념관)","","40.7","38.9","30.1","27.9","31.2","46.5","38.8","33.6","37.1","36.5","40","60.3","31.6","16.9","13.6","2",
"기 타","이태원","","18.5","38.7","28.3","31.7","32.3","26.2","33.2","26.7","31","28.3","16.6","20.9","40.2","","","",
"기 타","롯데월드","","18.5","28.3","28.8","24","25.3","29.9","29.7","30.6","34.2","38.5","32.5","15.7","31.7","7.4","13.6","44.5",
"기 타","인사동","","13.1","17.5","20.9","27.3","30.5","24.9","34.3","37","35.8","40","44.5","34.3","31.7","38.5","13.6","12.4",
"기 타","강남역","","","","","","","","","","","","","","","0","26.5","18.4",
"기 타","남산/N서울타워","","15.4","14.5","19.4","17.6","","31.3","31.5","31.9","44.3","44.1","24","45.3","31.7","21","13.6","20.5",
"기 타","코엑스","","","","","","20.7","","","20.9","","","","","","","","",
"기 타","청계천","","","","","","","14.1","19","","18.9","24.9","","","","","","",
"기 타","청와대","","","","","","12","","","","","","","","","","","",
"기 타","압구정동","","6.6","6.4","5.1","10.2","","","","","","","","","","","","",
"기 타","청계천,광화문광장","","","","","","","","","","","","9.1","","","","","",
"기 타","기타","","12.5","16.5","30.9","19.3","","","","","","","","","","","","",
"1회","사례수","","","","","","","","","","","6016","6218","6156","5987","6291","5392","5694",
"1회","남대문시장","","","","","","","","","","","60.1","44.7","40.4","32.2","28.1","30.5","29.6",
"1회","동대문시장","","","","","","","","","","","46.4","60.3","64.1","60.8","66.7","63.7","64.7",
"1회","명동","","","","","","","","","","","66.1","69.6","75.9","74.7","81","79.3","83.8",
"1회","고궁","","","","","","","","","","","50.3","45.8","47.9","49.6","52.5","58.8","48.9",
"1회","신촌/홍대주변","","","","","","","","","","","","","20.9","25.4","31.2","28.5","34.2",
"1회","박물관(기념관)","","","","","","","","","","","34.9","31.9","34.4","31.7","27.1","36","31.2",
"1회","이태원","","","","","","","","","","","22","20.2","22.6","23.6","","","",
"1회","롯데월드","","","","","","","","","","","27.1","27.4","33.2","36.3","28.8","27.7","26.7",
"1회","인사동","","","","","","","","","","","33.1","34.8","33.2","30.7","32","28.8","30.7",
"1회","강남역","","","","","","","","","","","","","","","21.5","20.5","25.3",
"1회","남산/N서울타워","","","","","","","","","","","38.8","40.8","42.2","38.8","50.9","52.4","52.1",
"1회","코엑스","","","","","","","","","","","","","","","","","",
"1회","청계천","","","","","","","","","","","22.2","","","","","","",
"1회","청와대","","","","","","","","","","","","","","","","","",
"1회","압구정동","","","","","","","","","","","","","","","","","",
"1회","청계천,광화문광장","","","","","","","","","","","","25.5","","","","","",
"1회","기타","","","","","","","","","","","","","","","","","",
"2회","사례수","","","","","","","","","","","1361","1438","1367","1295","1314","1688","1194",
"2회","남대문시장","","","","","","","","","","","52.8","43.4","36.6","35.7","27.9","26.7","32.4",
"2회","동대문시장","","","","","","","","","","","44.1","57.1","58.1","55.3","62","60.9","63.2",
"2회","명동","","","","","","","","","","","68.7","72","75.3","74.4","80.7","79.3","81.5",
"2회","고궁","","","","","","","","","","","39.7","31.7","30.5","29.4","36.2","40.2","30.8",
"2회","신촌/홍대주변","","","","","","","","","","","","","18.9","26.3","36.1","34.5","34.5",
"2회","박물관(기념관)","","","","","","","","","","","26.5","21.5","19.6","20.7","17.5","22.7","19.8",
"2회","이태원","","","","","","","","","","","18.4","20.9","19.3","20.3","","","",
"2회","롯데월드","","","","","","","","","","","25.6","25.6","26.3","27.1","20.1","21.6","23.3",
"2회","인사동","","","","","","","","","","","30.6","31.2","31.5","31.3","32.6","26.9","28",
"2회","강남역","","","","","","","","","","","","","","","25.2","24.7","29.2",
"2회","남산/N서울타워","","","","","","","","","","","34.7","34","31.1","27","41.2","37","39.3",
"2회","코엑스","","","","","","","","","","","","","","","","","",
"2회","청계천","","","","","","","","","","","16.6","","","","","","",
"2회","청와대","","","","","","","","","","","","","","","","","",
"2회","압구정동","","","","","","","","","","","","","","","","","",
"2회","청계천,광화문광장","","","","","","","","","","","","19.8","","","","","",
"2회","기타","","","","","","","","","","","","","","","","","",
"3회","사례수","","","","","","","","","","","686","662","777","782","631","821","627",
"3회","남대문시장","","","","","","","","","","","52.4","38.4","35.4","36","30.6","28.8","30.3",
"3회","동대문시장","","","","","","","","","","","44.9","54","50.3","53.4","54.2","59.2","61.5",
"3회","명동","","","","","","","","","","","71.7","66","71.2","71.9","74.8","78.8","79.8",
"3회","고궁","","","","","","","","","","","36","32.5","26.3","26.3","29","29.1","26",
"3회","신촌/홍대주변","","","","","","","","","","","","","20.9","23.2","28.8","32.4","40",
"3회","박물관(기념관)","","","","","","","","","","","21.4","20.9","16","14.3","13.3","18.5","16",
"3회","이태원","","","","","","","","","","","20.3","19.7","20.9","19.1","","","",
"3회","롯데월드","","","","","","","","","","","22.3","25.5","20.8","20.4","12.6","19.7","19.1",
"3회","인사동","","","","","","","","","","","32.6","31.6","31.8","29.7","30.9","21.7","25.4",
"3회","강남역","","","","","","","","","","","","","","","25.7","24.2","33.4",
"3회","남산/N서울타워","","","","","","","","","","","32.1","27.8","25.8","20.3","24.5","30.8","34.3",
"3회","코엑스","","","","","","","","","","","","","","","","","",
"3회","청계천","","","","","","","","","","","18.3","","","","","","",
"3회","청와대","","","","","","","","","","","","","","","","","",
"3회","압구정동","","","","","","","","","","","","","","","","","",
"3회","청계천,광화문광장","","","","","","","","","","","","19","","","","","",
"3회","기타","","","","","","","","","","","","","","","","","",
"4회 이상","사례수","","","","","","","","","","","1568","1271","1622","1665","1435","2240","1847",
"4회 이상","남대문시장","","","","","","","","","","","47.4","31.3","34.3","31.2","25","27.3","24.5",
"4회 이상","동대문시장","","","","","","","","","","","43.8","46.3","46.9","43.9","44.6","51.9","54.9",
"4회 이상","명동","","","","","","","","","","","64.8","68","70.3","65.3","61.2","69.4","72.8",
"4회 이상","고궁","","","","","","","","","","","27.3","23.8","19.3","14.8","17.2","17.9","15.8",
"4회 이상","신촌/홍대주변","","","","","","","","","","","","","17.3","18.5","18.6","25.4","27",
"4회 이상","박물관(기념관)","","","","","","","","","","","19.2","15","11.4","10.2","7.3","10.4","8.6",
"4회 이상","이태원","","","","","","","","","","","19.4","19.7","18.8","16.9","","","",
"4회 이상","롯데월드","","","","","","","","","","","19.8","18.4","14.6","14.5","8.6","15.7","17",
"4회 이상","인사동","","","","","","","","","","","28.3","24.9","25.8","23.1","20.8","19","20.7",
"4회 이상","강남역","","","","","","","","","","","","","","","25.5","27.7","29.4",
"4회 이상","남산/N서울타워","","","","","","","","","","","28.5","23","15.4","14.2","14.7","19.1","20.6",
"4회 이상","코엑스","","","","","","","","","","","","","","","","","",
"4회 이상","청계천","","","","","","","","","","","13.9","","","","","","",
"4회 이상","청와대","","","","","","","","","","","","","","","","","",
"4회 이상","압구정동","","","","","","","","","","","","","","","","","",
"4회 이상","청계천,광화문광장","","","","","","","","","","","","11.6","","","","","",
"4회 이상","기타","","","","","","","","","","","","","","","","","",
