서울특별시,783548,385607,397941
부산광역시,314118,154815,159303
대구광역시,216436,107523,108913
인천광역시,226438,113660,112778
광주광역시,139253,69340,69913
대전광역시,127032,63740,63292
울산광역시,106167,54832,51335
세종특별자치시,16050,8054,7996
경기도,979100,491428,487672
강원도,119678,60831,58847
충청북도,125342,63015,62327
충청남도,160932,81757,79175
전라북도,146891,73445,73446
전라남도,178935,89195,89740
경상북도,226129,113560,112569
경상남도,295499,149391,146108
제주특별자치도,30526,15257,15269
